Star1_ID,Star2_ID,AngularSeparation_rad
2021,113726,0.203526
30438,39429,0.203671
54872,30122,0.203688
83895,84970,0.204014
113368,93506,0.204329
57632,84345,0.204362
33977,76600,0.204384
88635,13209,0.204514
84345,50371,0.204769
84012,100064,0.204913
26634,26549,0.204964
71908,50372,0.205104
9640,86670,0.205153
25985,64962,0.205250
86742,7607,0.205257
24436,50335,0.205407
42913,61359,0.205452
72607,77622,0.205588
23767,46701,0.205655
61359,84345,0.205740
59803,85670,0.205761
23685,20889,0.205896
113368,89931,0.206226
72105,57757,0.206234
112122,23767,0.206340
97165,30122,0.206475
32759,27288,0.206673
5447,27288,0.206720
61359,76600,0.206920
79882,57757,0.206938
80763,7607,0.207101
77952,2920,0.207734
30122,51576,0.208053
113368,79882,0.208542
61359,27628,0.208940
22449,67464,0.209015
61941,80331,0.209022
54879,49841,0.209104
84380,78384,0.209313
14328,101958,0.209380
9884,42828,0.209418
23015,67472,0.209568
78820,18543,0.209599
69673,37826,0.209669
59316,8886,0.209691
54872,73334,0.209827
65378,77622,0.209894
113881,99240,0.209897
113963,74946,0.209988
26311,32759,0.209998
30324,22797,0.210187
29655,45080,0.210200
3179,85267,0.210303
17358,25281,0.210308
2081,57757,0.210437
11767,67472,0.210477
71860,113881,0.210547
18543,37740,0.210571
64962,85727,0.210661
91262,14354,0.210723
93506,57757,0.210769
72607,42828,0.210802
102098,73334,0.210939
89931,30122,0.211024
94376,86929,0.211287
89931,57757,0.211396
94376,8796,0.211417
26727,80331,0.211434
63608,42828,0.211447
68933,76600,0.211589
45238,80112,0.211688
78820,25281,0.211744
8903,30122,0.211787
69673,95947,0.211905
11767,74666,0.212019
112122,109074,0.212164
68895,42828,0.212309
78384,42536,0.212431
74785,23416,0.212456
17702,17847,0.212480
86742,86929,0.212494
94376,6537,0.212535
109074,46701,0.212570
33977,21281,0.212570
31681,27288,0.212653
112158,47908,0.212737
72622,43109,0.212845
54872,75177,0.212929
65474,54872,0.213154
46853,109492,0.213182
33977,3821,0.213283
71681,93747,0.213394
9640,86742,0.213486
71908,104732,0.213552
16083,88771,0.213561
52419,47908,0.213616
59803,30122,0.213621
31681,28380,0.213825
100064,61199,0.213832
42913,64962,0.214157
62956,26207,0.214158
9640,50335,0.214454
8903,51576,0.214460
85792,81693,0.214676
85258,86414,0.214708
48774,106985,0.214711
35904,106985,0.214789
88635,48774,0.214807
9236,93805,0.215175
4427,71053,0.215213
46853,55219,0.215428
71683,93747,0.215506
80763,113726,0.215998
62322,27628,0.216017
61932,14354,0.216024
71352,55219,0.216050
45556,24674,0.216210
23015,64962,0.216397
9236,86414,0.216424
8903,97165,0.216433
26241,17378,0.216445
81377,25985,0.216522
77233,102618,0.216643
101772,111169,0.216699
82273,77233,0.216809
113368,36188,0.216813
76297,46733,0.216998
30343,16083,0.216998
69673,1067,0.217132
56561,23767,0.217297
45941,30122,0.217301
33856,89937,0.217590
30343,109074,0.217618
112122,56561,0.217632
112158,32759,0.217665
54872,93805,0.217770
24436,17702,0.217805
78820,68282,0.217944
22449,57363,0.217991
113963,87261,0.217996
68933,61359,0.218032
83000,43109,0.218066
24608,11767,0.218085
75177,72220,0.218293
74946,83081,0.218304
68933,68756,0.218325
62434,35550,0.218535
42828,28103,0.218931
61941,37229,0.218974
17678,3821,0.219035
76297,38170,0.219271
39953,86032,0.219554
23015,30122,0.219560
